iter	PRAUC	Logloss	PRAUC:use_weights=true	PRAUC:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	F1:use_weights=true	F1:use_weights=false
0	0.7403118895	0.690882105	0.7403118895	0.4689006579	0.6210959416	0.6210959416	0.6632960762	0.3141911069	0.6415027426	0.4172896903
1	0.7493063815	0.6884976038	0.7493063815	0.4761409641	0.6798204601	0.6798204601	0.6576970919	0.3088360238	0.6685758089	0.4247239586
2	0.7524808489	0.6860056431	0.7524808489	0.4834003254	0.6833738545	0.6833738545	0.6567217929	0.3079126991	0.6697827932	0.4245381666
3	0.7506816499	0.6840398243	0.7506816499	0.4786784338	0.6777632317	0.6777632317	0.6577632301	0.3088987385	0.6676134772	0.4243808185
4	0.7524795062	0.6818758972	0.7524795062	0.4802463227	0.6704694221	0.6704694221	0.663075047	0.3139779296	0.666751734	0.4276767074
5	0.7534158069	0.6798874604	0.7534158069	0.4812205676	0.6721526089	0.6721526089	0.6616744261	0.3126304802	0.6668723607	0.4267648281
6	0.7604348844	0.6778743682	0.7604348844	0.4910928701	0.662801571	0.662801571	0.6710584355	0.3217722898	0.6669044474	0.433225353
7	0.7610995145	0.6760371474	0.7610995145	0.4918412906	0.668225173	0.668225173	0.6709742039	0.3216890249	0.6695968669	0.4343016896
8	0.7616800195	0.6741126621	0.7616800195	0.4918361601	0.66747709	0.66747709	0.6726671936	0.3233668569	0.6700620917	0.4356689453
9	0.7638694107	0.6723140592	0.7638694107	0.4950440894	0.6667290069	0.6667290069	0.6745209434	0.3252143769	0.6706023417	0.4371819241
10	0.7642096967	0.6707449513	0.7642096967	0.4949730916	0.6693472976	0.6693472976	0.6716375018	0.3223453121	0.670490444	0.4351367781
11	0.7644369166	0.6691759949	0.7644369166	0.4953144271	0.6652328408	0.6652328408	0.6734636465	0.3241593001	0.6693229406	0.4359068627
12	0.7637025487	0.6675321716	0.7637025487	0.4942075335	0.6667290069	0.6667290069	0.6742242747	0.324917973	0.6704556934	0.4369140266
13	0.7642877947	0.6655227573	0.7642877947	0.4949981673	0.6607443426	0.6607443426	0.6801257209	0.3308672036	0.6702949594	0.4409360374
14	0.7646838235	0.6639191843	0.7646838235	0.4955444853	0.6536375538	0.6536375538	0.6830360282	0.3338427739	0.6680134995	0.4419575114
15	0.7643166124	0.6621301148	0.7643166124	0.4948120787	0.6493360763	0.6493360763	0.6851080328	0.335978324	0.6667425917	0.4428289012
16	0.7651683635	0.6606348199	0.7651683635	0.4960577877	0.6469048064	0.6469048064	0.6863507043	0.3372659906	0.6660442292	0.4433762738
