iter	Passed	Remaining
0	8	8512
1	16	8481
2	25	8388
3	33	8417
4	43	8614
5	52	8730
6	62	8914
7	72	9042
8	83	9150
9	94	9320
10	104	9379
11	115	9536
12	129	9852
13	140	9882
14	150	9894
15	161	9926
16	173	10004
17	184	10045
18	194	10060
19	205	10086
20	216	10091
21	227	10118
22	238	10149
23	249	10156
24	260	10166
25	271	10184
26	282	10180
27	294	10216
28	307	10290
29	318	10286
30	328	10278
31	340	10302
32	350	10283
33	362	10288
34	373	10287
35	384	10302
36	395	10297
37	407	10318
38	418	10314
39	430	10322
40	441	10329
41	452	10325
42	463	10321
43	475	10326
44	486	10326
45	497	10311
46	508	10302
47	518	10291
48	529	10280
49	540	10274
50	552	10271
51	562	10263
52	574	10256
53	587	10299
54	599	10297
55	610	10284
56	621	10279
57	632	10265
58	642	10253
59	654	10254
60	665	10238
61	675	10226
62	687	10217
63	697	10207
64	708	10195
65	720	10191
66	730	10172
67	741	10164
68	752	10150
69	763	10139
70	774	10137
71	787	10146
72	798	10135
73	808	10121
74	820	10114
75	830	10102
76	841	10088
77	852	10077
78	863	10062
79	874	10061
80	887	10073
81	899	10070
82	910	10063
83	922	10055
84	933	10053
85	944	10043
86	956	10032
87	967	10026
88	977	10008
89	988	9997
90	1000	9996
91	1010	9977
92	1021	9963
93	1032	9953
94	1043	9938
95	1054	9933
96	1066	9930
97	1078	9926
98	1089	9912
99	1100	9901
100	1113	9911
101	1124	9896
102	1136	9897
103	1150	9915
104	1161	9903
105	1172	9891
106	1183	9880
107	1194	9868
108	1205	9855
109	1216	9845
110	1227	9833
111	1238	9819
112	1249	9811
113	1261	9801
114	1271	9787
115	1282	9776
116	1294	9766
117	1304	9754
118	1316	9749
119	1328	9742
120	1339	9731
121	1350	9720
122	1361	9708
123	1373	9705
124	1384	9694
125	1396	9683
126	1406	9670
127	1417	9656
128	1428	9643
129	1439	9632
130	1450	9619
131	1461	9609
132	1471	9595
133	1483	9584
134	1494	9574
