iter	Logloss
0	0.6821035095
1	0.6725362534
2	0.6636665104
3	0.658494564
4	0.6527565567
5	0.6489539222
6	0.6451685375
7	0.6418199373
8	0.6397752909
9	0.6375705762
10	0.6354154843
11	0.6334000211
12	0.6318418135
13	0.6304733656
14	0.6290688908
15	0.6275034021
16	0.626609696
17	0.625773433
18	0.6250956508
19	0.6244941036
20	0.6233013253
21	0.6227275668
22	0.6220267543
23	0.6212931149
24	0.6209150515
25	0.6203996281
26	0.6200385709
27	0.6195708348
28	0.6192219536
29	0.6187551265
30	0.6184972835
31	0.6181457004
32	0.6177132771
33	0.6173060516
34	0.6167895659
35	0.6162990412
36	0.6158750653
37	0.6154821072
38	0.6152083176
39	0.6148672395
40	0.6146111151
41	0.6145693894
42	0.6143307938
43	0.6141226376
44	0.6136739497
45	0.6135490499
46	0.6132365845
47	0.6129765216
48	0.6126033033
49	0.6123540442
50	0.6119580118
51	0.6116266594
52	0.6114461147
53	0.610950673
54	0.6107062408
55	0.6103315933
56	0.6100119111
57	0.6097908358
58	0.6096184501
59	0.6090425919
60	0.60889338
61	0.6086343436
62	0.6085181819
63	0.6083660913
64	0.6081466461
65	0.6077456614
66	0.6074709126
67	0.6071848675
68	0.6070346534
69	0.606775519
70	0.6066196337
71	0.6062587369
72	0.6060469554
73	0.6059084659
74	0.6057853619
75	0.6056112894
76	0.6054787043
77	0.6052975743
78	0.6050220203
79	0.6047755623
80	0.6046443506
81	0.6043665884
82	0.6042869443
83	0.6039819302
84	0.6037842769
85	0.6036874846
86	0.6034096235
87	0.6032255427
88	0.6029815122
89	0.6028583425
90	0.602755041
91	0.6024415973
92	0.6022473542
93	0.6018964168
94	0.6016859842
95	0.601494577
96	0.6014297071
97	0.6012847702
98	0.6010641655
99	0.6008510497
100	0.6006544831
101	0.6003741957
102	0.6000591025
103	0.599926096
104	0.5996973308
105	0.5995751802
106	0.599367443
107	0.5990580604
108	0.5989155402
109	0.5986603664
110	0.5984761845
111	0.5982376198
112	0.5979628042
113	0.5977077229
114	0.5974227291
115	0.5970103392
116	0.5966735285
117	0.5963735186
118	0.5960537122
119	0.5957603516
120	0.5955797646
121	0.5953397724
122	0.5950895348
123	0.5947870033
124	0.5945589706
125	0.5942161293
126	0.5939691222
127	0.5935876002
128	0.5931870268
129	0.5928151342
130	0.5924943127
131	0.59218238
132	0.5918639291
133	0.5915514478
134	0.5912919339
135	0.5909899149
136	0.5906864032
137	0.5903514579
138	0.589994564
139	0.5897770009
140	0.5894825035
141	0.5891479276
142	0.5888436953
143	0.5885200124
144	0.5882621911
145	0.5880139972
146	0.5876996554
147	0.587427495
148	0.5871295338
149	0.5868949123
150	0.5866752571
151	0.5864186696
152	0.5861816323
153	0.5859071269
154	0.5856751163
155	0.5852754512
156	0.5849911366
157	0.5847789216
158	0.584464966
159	0.5841169159
160	0.5837775513
161	0.58349309
162	0.5831366085
163	0.5828769077
164	0.5826363147
165	0.5824029896
166	0.5821926415
167	0.5819570668
168	0.5815964784
169	0.5813524791
170	0.5812994446
171	0.5810819087
172	0.580655028
173	0.5803717147
174	0.5802021501
175	0.5798548087
176	0.5795824807
177	0.5794643561
178	0.579190416
179	0.5789520827
180	0.5787180116
181	0.5783829593
182	0.5780867235
183	0.5777990914
184	0.5774478463
185	0.5772222837
186	0.5768893708
187	0.576682895
188	0.5764417255
189	0.5761918471
190	0.5758514065
191	0.575495154
192	0.5753041187
193	0.5750375066
194	0.5747559324
195	0.5745045641
196	0.574145589
197	0.5738879998
198	0.5735700248
199	0.5734094054
200	0.5731117497
201	0.5728110455
202	0.572599309
203	0.5723713301
204	0.5721801351
205	0.5718454433
206	0.5717224056
207	0.5714425522
208	0.5711646552
209	0.5708669466
210	0.5708168278
211	0.5706199341
212	0.5703734483
213	0.5701714501
214	0.5697335314
215	0.5695267825
216	0.569229712
217	0.5690178717
218	0.568751374
219	0.5684927236
220	0.5682919126
221	0.5681051033
222	0.5678972879
223	0.5675715766
224	0.5674081781
225	0.5671351354
226	0.5668813975
227	0.566543581
228	0.5662746517
229	0.5659891055
230	0.565740442
231	0.5655609486
232	0.5652710497
233	0.5649078704
234	0.5646273613
235	0.5643434667
236	0.5640909953
237	0.5639256213
238	0.5636366358
239	0.5635982159
240	0.5634397433
241	0.5631556647
242	0.5628862895
243	0.5625647778
244	0.5622370781
245	0.5619201675
246	0.5615662208
247	0.5614859075
248	0.5612538944
249	0.5610048164
250	0.5608001445
251	0.5605958261
252	0.5603141827
253	0.5601090815
254	0.5598176546
255	0.5596536371
256	0.5595153596
257	0.559350594
258	0.5591604365
259	0.5589351266
260	0.5586129421
261	0.5585023708
262	0.5581961905
263	0.5578521917
264	0.5576187644
265	0.5573411336
266	0.5571063742
267	0.5567226575
268	0.556370148
269	0.5560817111
270	0.5557553725
271	0.5555618224
272	0.5553921855
273	0.5551463406
274	0.5547742635
275	0.5546573827
276	0.5544686903
277	0.5542548838
278	0.5540518933
279	0.5539077667
280	0.5536670151
281	0.5534565345
282	0.5532359434
283	0.5530049
284	0.552817935
285	0.552678657
286	0.5524802893
287	0.5522238295
288	0.5520109506
289	0.5517780148
290	0.5515145963
291	0.5512554688
292	0.5511484137
293	0.5508980449
294	0.5505898824
295	0.5504296785
296	0.5503541143
297	0.5500758784
298	0.5498855347
299	0.5495731202
