iter	Passed	Remaining
0	4	1375
1	8	1323
2	13	1318
3	17	1304
4	22	1326
5	27	1326
6	31	1335
7	36	1344
8	41	1331
9	45	1333
10	50	1324
11	54	1311
12	58	1297
13	62	1286
14	67	1285
15	71	1275
16	76	1275
17	80	1267
18	85	1258
19	89	1251
20	93	1243
21	98	1241
22	102	1234
23	106	1228
24	111	1225
25	115	1218
26	119	1207
27	123	1202
28	128	1197
29	132	1192
30	137	1189
31	141	1182
32	145	1179
33	149	1171
34	154	1168
35	158	1160
36	162	1155
37	166	1151
38	171	1145
39	175	1143
40	179	1136
41	182	1120
42	186	1113
43	190	1108
44	195	1105
45	199	1100
46	203	1094
47	207	1089
48	211	1082
49	214	1074
50	219	1070
51	223	1065
52	227	1060
53	232	1060
54	237	1055
55	240	1049
56	245	1046
57	249	1041
58	253	1035
59	257	1031
60	262	1028
61	267	1025
62	270	1019
63	275	1015
64	279	1009
65	283	1003
66	286	997
67	291	993
68	295	987
69	299	983
70	303	978
71	307	973
72	311	968
73	315	964
74	319	959
75	323	954
76	328	950
77	332	946
78	336	941
79	340	937
80	344	932
81	348	927
82	353	924
83	357	920
84	362	916
85	366	911
86	370	906
87	374	901
88	378	898
89	383	894
90	387	890
91	392	886
92	396	882
93	400	877
94	404	872
95	408	867
96	412	862
97	416	857
98	420	852
99	424	848
100	428	844
101	432	839
102	436	835
103	440	830
104	444	826
105	448	821
106	452	816
107	457	813
108	461	808
109	465	804
110	469	799
111	474	795
112	478	792
113	483	788
114	487	783
115	491	779
116	496	776
117	500	772
118	505	768
119	509	764
120	513	759
121	518	756
122	522	751
123	530	753
124	536	750
125	541	747
126	547	745
127	552	741
128	558	739
129	563	736
130	567	731
131	571	727
132	575	722
133	579	718
134	584	714
135	589	710
136	593	705
137	597	700
138	601	696
139	604	691
140	609	687
141	613	682
142	617	677
143	622	673
144	626	669
145	630	664
146	634	660
147	638	655
148	642	651
149	646	646
150	651	642
151	655	638
152	660	634
153	663	629
154	667	624
155	672	620
156	676	616
157	680	611
158	684	607
159	689	603
160	693	598
161	697	594
162	702	590
163	706	585
164	710	581
165	714	577
166	718	572
167	722	567
168	727	563
169	730	558
170	734	554
171	739	550
172	744	546
173	749	542
174	753	538
175	758	534
176	762	529
177	766	525
178	770	520
179	774	516
180	778	511
181	782	507
182	787	503
183	792	499
184	796	494
185	800	490
186	804	486
187	809	481
188	813	477
189	818	473
190	821	469
191	826	464
192	830	460
193	834	456
194	839	452
195	843	447
196	848	443
197	852	439
198	857	435
199	860	430
200	865	426
201	870	422
202	874	418
203	879	413
204	883	409
205	888	405
206	892	400
207	896	396
208	900	392
209	904	387
210	908	383
211	914	379
212	919	375
213	924	371
214	928	367
215	932	362
216	937	358
217	940	353
218	945	349
219	950	345
220	954	341
221	958	336
222	962	332
223	967	328
224	971	323
225	975	319
226	980	315
227	985	311
228	990	306
229	994	302
230	997	298
231	1002	293
232	1006	289
233	1010	285
234	1014	280
235	1019	276
236	1023	272
237	1027	267
238	1031	263
239	1036	259
240	1040	254
241	1045	250
242	1050	246
243	1055	242
244	1059	237
245	1063	233
246	1067	229
247	1071	224
248	1075	220
249	1080	216
250	1084	211
251	1089	207
252	1093	203
253	1097	198
254	1101	194
255	1105	189
256	1109	185
257	1114	181
258	1118	177
259	1122	172
260	1126	168
261	1130	163
262	1134	159
263	1138	155
264	1142	150
265	1147	146
266	1151	142
267	1156	138
268	1160	133
269	1164	129
270	1168	125
271	1172	120
272	1176	116
273	1180	112
274	1186	107
275	1190	103
276	1194	99
277	1198	94
278	1202	90
279	1206	86
280	1210	81
281	1215	77
282	1220	73
283	1224	68
284	1228	64
285	1233	60
286	1237	56
287	1241	51
288	1245	47
289	1250	43
290	1254	38
291	1258	34
292	1263	30
293	1266	25
294	1270	21
295	1274	17
296	1278	12
297	1283	8
298	1288	4
299	1292	0
